"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"Second Machine translated sentence";"First machine translated sentence bleu score";"Second machine translated sentence bleu score"
"1";"WASHINGTON President Biden signed an executive order on Thursday designed to sharpen the federal government's powers to block Chinese investment in technology in the United States and limit its access to private data on citizens, in a move that is bound to heighten tensions with Beijing.";"华盛顿 —— 拜登总统周四签署了一项行政命令 ， 以加强联邦政府阻止中国在美国的技术投资、限制其获取美国公民私人数据的权力 ， 此举势必将加剧与北京的紧张关系。";"华盛顿 （ 路透社 ） - 华盛顿总统拜登周四签署了一项行政命令 ， 旨在加强联邦政府阻止中国在美国技术投资并限制其获取公民私人数据的权力 ， 此举必将加剧与北京的紧张关系。";"华盛顿 （ 路透社 ） - 华盛顿总统拜登周四签署了一项行政命令 ， 旨在加强联邦政府阻止中国在美国技术投资并限制其获取公民私人数据的权力 ， 此举必将加剧与北京的紧张关系。";"5.522398";"5.522398"
"2";"The new order is designed to focus the actions of the secretive Committee on Foreign Investments in the United States, created by Congress nearly a half-century ago. For years the committee's powers were limited largely to blocking the foreign acquisition of American firms that might have a direct impact on national security a military contractor, for example.";"这项新法令针对的是美国外国投资委员会的行动 ， 这个神秘的机构由国会在近半个世纪前设立。多年来 ， 该委员会的权力主要限于阻止外国收购可能对国家安全产生直接影响的美国公司 —— 例如军事承包商。";"新命令旨在集中美国国会近半个世纪前创建的秘密外国投资委员会的行动。 多年来 ， 该委员会的权力主要局限于阻止外国收购可能对军事承包商的国家安全产生直接影响的美国公司。";"新命令旨在集中美国国会近半个世纪前创建的秘密外国投资委员会的行动。 多年来 ， 该委员会的权力主要局限于阻止外国收购可能对军事承包商的国家安全产生直接影响的美国公司。";"7.545384";"7.545384"
"3";"But the most far-reaching part of Mr. Biden's new order, and potentially the most important element in coming months, directs the committee to consider whether a pending deal involves the purchase of a business with access to Americans' sensitive data, and whether a foreign company or government could exploit that information.";"但拜登这项新命令中影响最为深远的部分 —— 而且有可能成为未来几个月的重头戏 —— 在于指示该委员会评估购买美国企业的交易是否会获得访问美国人敏感数据的权限 ， 以及外国公司或政府是否可能利用这些信息。";"但拜登新命令中影响最深远的部分 ， 也可能是未来几个月最重要的部分 ， 指示委员会考虑一项悬而未决的交易是否涉及购买可访问美国人敏感数据的企业 ， 以及外国公司或政府是否可以利用这些信息。";"但拜登新命令中影响最深远的部分 ， 也可能是未来几个月最重要的部分 ， 指示委员会考虑一项悬而未决的交易是否涉及购买可访问美国人敏感数据的企业 ， 以及外国公司或政府是否可以利用这些信息。";"6.567275";"6.567275"
"4";"That wording reflects growing unease about China's ability to access the personal information that Americans hand over to mobile apps and other services. The committee, known by the acronym CFIUS, is believed to be already scrutinizing TikTok, the popular Chinese-owned video app that critics worry could expose its users' data to the Chinese government.";"从该行政命令的内容可以看出 ， 中国获取美国人交给移动应用程序和其他服务的个人信息的能力正在引起越来越多的不安。据信 ， 美国外国投资委员会已经在对tiktok展开审查 ， 这是一款中国公司拥有的热门视频应用程序 ， 批评人士担心它可能将用户数据暴露给中国政府。";"这一措辞反映了人们对中国有能力获取美国人移交给移动应用程序和其他服务的个人信息越来越感到不安。 该委员会被称为cfius ， 据信已经在审查tiktok ， 这是一款受欢迎的中国视频应用程序 ， 批评者担心这可能会将其用户的数据暴露给中国政府。";"这一措辞反映了人们对中国有能力获取美国人移交给移动应用程序和其他服务的个人信息越来越感到不安。 该委员会被称为cfius ， 据信已经在审查tiktok ， 这是一款受欢迎的中国视频应用程序 ， 批评者担心这可能会将其用户的数据暴露给中国政府。";"6.413885";"6.413885"
"5";"So far the Biden administration has said little about its review of TikTok. In the last months of the Trump administration, there was a hasty effort to force a sale of the American operations of TikTok to a consortium of American and other Western companies; it quickly fell apart. And the deal never resolved the broader question in the expanding technology wars between Washington and Beijing: How should the United States deal with the foreign apps that are becoming embedded on the screens of Americans' smartphones, and thus in the daily fabric of American digital life?";"到目前为止 ， 拜登政府尚未就其对tiktok的审查表态。在执政的最后几个月里 ， 特朗普政府曾经有过一次匆忙的尝试 ， 强迫将tiktok的美国业务出售给一个由美国和其他西方公司组成的财团 ; 但该尝试很快以失败告终。而且 ， 这笔交易也从未解决华盛顿和北京之间不断扩大的科技战中一个更具广泛性的问题 : 美国应该如何处理正逐渐嵌入美国人的智能手机屏幕 ， 并因此成为美国数字生活日常一部分的外国应用程序 ?";"到目前为止 ， 拜登政府对其对tiktok的审查几乎没有说过。 在特朗普政府的最后几个月里 ， 有人仓促地将tiktok的美国业务出售给一个由美国和其他西方公司组成的财团 ； 它很快就崩溃了。 这笔交易从未解决华盛顿和北京之间不断扩大的技术战争中更广泛的问题 ： 美国应该如何处理嵌入在美国智能手机屏幕上的外国应用程序 ， 从而在美国数字生活的日常结构中 ？";"到目前为止 ， 拜登政府对其对tiktok的审查几乎没有说什么。 在特朗普政府的最后几个月里 ， 有人仓促地将tiktok的美国业务出售给一个由美国和其他西方公司组成的财团 ； 它很快就崩溃了。 这笔交易从未解决华盛顿和北京之间不断扩大的技术战争中更广泛的问题 ： 美国应该如何处理嵌入在美国智能手机屏幕上的外国应用程序 ， 从而在美国数字生活的日常结构中 ？";"5.855165";"5.855165"
"6";"In recent months, evidence has emerged that TikTok employees in China had the ability to access data about Americans who signed up for the service. There is no public evidence the company has handed data over to the Chinese government, but Chinese national security laws could require the company to do so. The issue now is whether requiring the transfer of all that data to American-based servers would solve that problem, or merely mitigate it. And there are continuing questions about who designs the algorithms that track the interests and activities of Americans online.";"最近几个月 ， 有证据表明tiktok在中国的员工能够访问美国用户的数据。没有公开证据表明该公司已将数据移交给中国政府 ， 但中国的国家安全法可以要求该公司这样做。现在的问题是 ， 要求将所有数据传输到美国的服务器上的做法能否解决这个问题 ， 或者仅仅起到缓解作用。一个始终未决的问题是 ， 是谁在设计追踪美国人的网络兴趣和活动的算法。";"近几个月来 ， 有证据表明 ， tiktok在中国的员工有能力访问注册该服务的美国人的数据。 没有公开证据表明该公司已将数据移交给中国政府 ， 但中国的国家安全法律可能要求该公司这样做。 现在的问题是 ， 要求将所有这些数据传输到美国的服务器是否会解决这个问题 ， 或者仅仅是缓解这个问题。 关于谁设计了跟踪美国人在线兴趣和活动的算法 ， 仍然存在疑问。";"近几个月来 ， 有证据表明 ， tiktok在中国的员工有能力访问注册该服务的美国人的数据。 没有公开证据表明该公司已将数据移交给中国政府 ， 但中国的国家安全法律可能要求该公司这样做。 现在的问题是 ， 要求将所有这些数据传输到美国的服务器是否会解决这个问题 ， 或者仅仅是缓解这个问题。 关于谁设计了跟踪美国人在线兴趣和活动的算法 ， 仍然存在疑问。";"3.657016";"3.657016"
"7";"Chinese intelligence agencies have gone to great lengths to obtain vast troves of data about Americans, including by hacking the databases of the Office of Personnel Management during the Obama administration. Before American authorities caught on, the information that 22.5 million Americans had filed for security clearances was in Chinese hands. It has never been clear what China did with that data.";"中国的情报机构不遗余力地获取大量美国人的数据 ， 包括在奥巴马政府期间入侵美国人事管理局的数据库。待美国当局发现时 ， 2250 万申请安全许可的美国人的信息已经落到了中国人的手中。中国拿这些数据究竟做了什么 ， 至今仍不得而知。";"中国情报机构竭尽全力获取大量有关美国人的数据 ， 包括在奥巴马执政期间入侵人事管理办公室的数据库。 在美国当局抓住之前 ， 2250 万美国人申请安全许可的信息掌握在中国手中。 目前尚不清楚中国对这些数据做了什么。";"中国情报机构竭尽全力获取大量有关美国人的数据 ， 包括在奥巴马执政期间入侵人事管理办公室的数据库。 在美国当局抓住之前 ， 2250 万美国人申请安全许可的信息掌握在中国手中。 目前尚不清楚中国对这些数据做了什么。";"12.223076";"12.223076"
"8";"The executive order, which has been anticipated for months, does not regulate ""outbound investment"" by American companies in foreign nations, though the Biden administration seems likely to seek new authority to regulate that as well. For years, one concern has been China's requirement that foreign companies turn over technology as part of the price for being allowed to enter the Chinese market.";"数月来 ， 外界一直预计会颁布该行政命令。它并未对美国公司在其他国家的 "" 对外投资 "" 进行监管 ， 尽管拜登政府似乎也可能寻求新的授权对此进行规范。多年来 ， 一个令人担忧的问题是 ， 中国要求外国公司交出技术 ， 作为获准进入中国市场的代价之一。";"预计已有数月之久的行政命令并未对美国公司在外国的 “ 境外投资 ” 进行监管 ， 尽管拜登政府似乎也可能寻求新的监管机构来监管这一点。 多年来 ， 一个令人担忧的问题是中国要求外国公司将技术作为被允许进入中国市场价格的一部分。";"预计已有数月之久的行政命令并未对美国公司在外国的 “ 境外投资 ” 进行监管 ， 尽管拜登政府似乎也可能寻求新的监管机构来监管这一点。 多年来 ， 一个令人担忧的问题是中国要求外国公司将技术作为被允许进入中国市场价格的一部分。";"5.633171";"5.633171"
"9";"""For China, this work is about survival,"" Nigel Inkster, the former director of operations and intelligence for Britain's Secret Intelligence Service, wrote in The New York Times opinion section earlier this week, delineating covert operations by Chinese operatives to gain technology or manufacturing techniques that would speed Beijing's way. He noted a law in China that orders Chinese citizens to help intelligence agencies, usually secretly.";""" 对中国来说 ， 这项工作事关生存 ， "" 英国秘密情报局前行动与情报主管奈杰尔 · 英克斯特本周早些时候在《纽约时报》评论版这样写道 ， 他描述了中国特工为了获取科技或制造技术以加速中国发展的秘密行动。他指出 ， 中国的一项法律要求中国公民为情报机关提供协助 ， 这通常也是秘密进行的。";"“ 对中国来说 ， 这项工作是关于生存的 ，” 英国秘密情报局 ( secret intelligence service ) 前行动和情报总监奈杰尔 · 英克斯特 ( nigel inkster ) 本周早些时候在《纽约时报》 ( the new york times ) 的舆论栏目中写道 ， 他描绘了中国特工的秘密行动 ， 以获得能加速北京前进的技术或制造技术。 他指出 ， 中国的一项法律要求中国公民帮助情报机构 ， 通常是秘密的。";"“ 对中国来说 ， 这项工作是关于生存的 ，” 英国秘密情报局 ( secret intelligence service ) 前行动和情报总监奈杰尔 · 英克斯特 ( nigel inkster ) 本周早些时候在《纽约时报》 ( the new york times ) 的舆论栏目中写道 ， 他描绘了中国特工的秘密行动 ， 以获得能加速北京前进的技术或制造技术。 他指出 ， 中国的一项法律要求中国公民帮助情报机构 ， 通常是秘密的。";"2.888679";"2.888679"
"10";"The new order directs CFIUS to concentrate on specific types of transactions that would give a foreign power access to technologies that Mr. Biden has identified as critical to American economic growth. That includes ""microelectronics, artificial intelligence, biotechnology and biomanufacturing, quantum computing, advanced clean energy and climate adaptation technologies,"" according to a White House summary.";"在这一新命令下 ， 外国投资委员会要重点关注特定类型的交易 ， 这些交易可能会让外国势力获得拜登认定的对美国经济增长至关重要的技术。根据白宫的一份摘要 ， "" 微电子、人工智能、生物技术和生物制造、量子计算、先进清洁能源及气候适应技术 "" 都包括其中。";"新命令指示cfius专注于特定类型的交易 ， 这些交易将使外国势力获得拜登认为对美国经济增长至关重要的技术。 据白宫总结 ， 这包括 “ 微电子、人工智能、生物技术和生物制造、量子计算、先进的清洁能源和气候适应技术 ” 。";"新命令指示cfius专注于特定类型的交易 ， 这些交易将使外国势力获得拜登认为对美国经济增长至关重要的技术。 据白宫总结 ， 这包括 “ 微电子、人工智能、生物技术和生物制造、量子计算、先进的清洁能源和气候适应技术 ” 。";"4.990050";"4.990050"
